Proto        Remote      Port      Local       Port  In Out  Stat TTY OutputIF
 17       --listen--          10.8.2.154        123   0   0 2001001   0 
 17(v6)   --listen--          --any--           123   0   0 2020001   0 
 17     10.64.0.207     46687 10.8.252.24       161   0   0 2001001   0 
 17       --listen--          10.8.2.154        162   0   0 2001011   0 
 17       --listen--          10.8.2.154      64915   0   0 2001011   0 
 17(v6)   --listen--          --any--           161   0   0 2020001   0 
 17(v6)   --listen--          --any--           162   0   0 2020011   0 
 17(v6)   --listen--          --any--         56243   0   0 2020001   0 
 17     10.64.0.93        514 10.8.252.24     60729   0   0 400200   0 
 17       --listen--          10.8.2.154       3503   0   0 2000001   0 
 17       --listen--          10.8.2.154        646   0   0 2000001   0 
 17     10.194.160.71     162 10.8.252.24     62540   0   0 2000000   0 
 17     10.194.162.33     162 10.8.252.24     54029   0   0 2000000   0 
 17     10.64.1.75        162 10.8.252.24     53641   0   0 2000000   0 
