

     Resource                   Min       Max       Used      Unused    Avail    
     --------                   ---       ---       ----      ------    -----    
     vlan                       16        4094      337       0         3757     
     monitor-session-erspan-dst 0         23        0         0         23       
     vrf                        2         4096      39        0         4052     
     port-channel               0         768       21        0         745      
     u4route-mem                8         8         6         2         2        
     u6route-mem                4         4         1         3         3        
     m4route-mem                8         8         1         7         7        
     m6route-mem                5         5         1         4         4        
     monitor-session-inband-src 0         1         0         0         1        
     anycast_bundleid           0         16        0         0         16       
     monitor-session-extended   0         16        0         0         16       
     monitor-rbs-filter         0         16        0         0         16       
     monitor-rbs-product        0         16        0         0         16       

